date,point_forecast,lower_80,upper_80,lower_95,upper_95,selected_member,model_family,model_specification,forecast_note
2026-07-01,136.89396712547574,136.3841948468931,137.40373940405837,136.1143377034522,137.67359654749927,Steven,ARIMA/SARIMA,"ARIMA(0,1,1)(0,0,1)[12] with drift","Forecast values are estimates, not guaranteed future outcomes."
2026-08-01,137.0864087126036,136.21313849226595,137.95967893294124,135.75085716192856,138.42196026327863,Steven,ARIMA/SARIMA,"ARIMA(0,1,1)(0,0,1)[12] with drift","Forecast values are estimates, not guaranteed future outcomes."
2026-09-01,137.2933393050553,136.16846865496004,138.41820995515056,135.57299810246312,139.01368050764748,Steven,ARIMA/SARIMA,"ARIMA(0,1,1)(0,0,1)[12] with drift","Forecast values are estimates, not guaranteed future outcomes."
2026-10-01,137.44641668228923,136.1167298465407,138.77610351803776,135.4128361547069,139.47999720987156,Steven,ARIMA/SARIMA,"ARIMA(0,1,1)(0,0,1)[12] with drift","Forecast values are estimates, not guaranteed future outcomes."
2026-11-01,137.61431063677333,136.10739319282354,139.1212280807231,135.30967928425991,139.91894198928674,Steven,ARIMA/SARIMA,"ARIMA(0,1,1)(0,0,1)[12] with drift","Forecast values are estimates, not guaranteed future outcomes."
2026-12-01,137.83108043503154,136.1656876031155,139.4964732669476,135.2840818916842,140.37807897837888,Steven,ARIMA/SARIMA,"ARIMA(0,1,1)(0,0,1)[12] with drift","Forecast values are estimates, not guaranteed future outcomes."
2027-01-01,138.0237215283426,136.21367556585585,139.83376749082936,135.25549511263176,140.79194794405345,Steven,ARIMA/SARIMA,"ARIMA(0,1,1)(0,0,1)[12] with drift","Forecast values are estimates, not guaranteed future outcomes."
2027-02-01,138.2362099068707,136.2922450182907,140.18017479545068,135.26317216787965,141.20924764586175,Steven,ARIMA/SARIMA,"ARIMA(0,1,1)(0,0,1)[12] with drift","Forecast values are estimates, not guaranteed future outcomes."
2027-03-01,138.41719166484637,136.34795688122492,140.48642644846782,135.25257015409807,141.58181317559468,Steven,ARIMA/SARIMA,"ARIMA(0,1,1)(0,0,1)[12] with drift","Forecast values are estimates, not guaranteed future outcomes."
2027-04-01,138.59823055907498,136.41088840672063,140.78557271142932,135.2529794152718,141.94348170287816,Steven,ARIMA/SARIMA,"ARIMA(0,1,1)(0,0,1)[12] with drift","Forecast values are estimates, not guaranteed future outcomes."
2027-05-01,138.80237855502244,136.5029875936626,141.1017695163823,135.2857635456786,142.31899356436628,Steven,ARIMA/SARIMA,"ARIMA(0,1,1)(0,0,1)[12] with drift","Forecast values are estimates, not guaranteed future outcomes."
2027-06-01,138.9819144286033,136.57568669729844,141.38814215990814,135.30190667959405,142.66192217761252,Steven,ARIMA/SARIMA,"ARIMA(0,1,1)(0,0,1)[12] with drift","Forecast values are estimates, not guaranteed future outcomes."
