AICc,model_key,selected_variant,model_specification,p,d,q,P,D,Q,seasonal_period,includes_drift,includes_mean,Fourier_K,Ljung_Box_lag,Ljung_Box_p_value,Ljung_Box_acceptable,Ljung_Box_decision,Residual_ACF_spike_count,Residual_ACF_spike_lags,Residual_ACF_has_consecutive_spikes,Residual_ACF_pattern,Residual_ACF_acceptable,Residuals_acceptable,Diagnostic_note,Validation_Training_RMSE,Validation_Test_RMSE,Validation_RMSE_ratio,Validation_Training_MAPE,Validation_Test_MAPE,Validation_Overfitting_acceptable,Validation_Overfitting_assessment,Validation_MAE,Validation_RMSE,Validation_MAPE,Validation_MASE,Validation_eligible
194.61516163994125,sarima_011_001_drift,"SARIMA(0,1,1)(0,0,1)[12] with drift","ARIMA(0,1,1)(0,0,1)[12] with drift",0,1,1,0,0,1,12,Yes,No,0,24,0.17377504583392978,Yes,Yes,3,"7, 15, 22",No,Few isolated spikes,Yes,Yes,"The Ljung-Box test did not detect significant overall residual autocorrelation. 3 isolated ACF spikes were observed, but they did not form a consecutive pattern.",0.42116744249990545,0.3064775803778944,0.7276858309814943,0.22815871495408585,0.19831435589954063,Yes,No strong overfitting warning from the training-versus-test RMSE comparison,0.26463784528603423,0.3064775803778944,0.1983143558995406,0.0999116744061504,Yes
194.4440042017789,arima_011_drift,"ARIMA(0,1,1) with drift","ARIMA(0,1,1)(0,0,0)[12] with drift",0,1,1,0,0,0,12,Yes,No,0,24,0.15637342616355754,Yes,Yes,2,"15, 22",No,Few isolated spikes,Yes,Yes,"The Ljung-Box test did not detect significant overall residual autocorrelation. 2 isolated ACF spikes were observed, but they did not form a consecutive pattern.",0.42378525111415555,0.33570298979013624,0.792153546890917,0.22887088181467574,0.219307743508962,Yes,No strong overfitting warning from the training-versus-test RMSE comparison,0.29263634140760786,0.33570298979013624,0.219307743508962,0.11048225861468254,Yes
194.4440042017789,auto_arima,Automatic ARIMA selection,"ARIMA(0,1,1)(0,0,0)[12] with drift",0,1,1,0,0,0,12,Yes,No,0,24,0.15637342616355754,Yes,Yes,2,"15, 22",No,Few isolated spikes,Yes,Yes,"The Ljung-Box test did not detect significant overall residual autocorrelation. 2 isolated ACF spikes were observed, but they did not form a consecutive pattern.",0.42378525111415555,0.33570298979013624,0.792153546890917,0.22887088181467574,0.219307743508962,Yes,No strong overfitting warning from the training-versus-test RMSE comparison,0.29263634140760786,0.33570298979013624,0.219307743508962,0.11048225861468254,Yes
195.53351976825073,arima_111_drift,"ARIMA(1,1,1) with drift","ARIMA(1,1,1)(0,0,0)[12] with drift",1,1,1,0,0,0,12,Yes,No,0,24,0.24311366765793596,Yes,Yes,2,"15, 22",No,Few isolated spikes,Yes,Yes,"The Ljung-Box test did not detect significant overall residual autocorrelation. 2 isolated ACF spikes were observed, but they did not form a consecutive pattern.",0.42249266951500597,0.33802383607734016,0.8000702981790654,0.22765300583031134,0.22077586566950044,Yes,No strong overfitting warning from the training-versus-test RMSE comparison,0.2945891400561891,0.33802383607734016,0.22077586566950042,0.11121952044715755,Yes
208.40604773219604,sarima_011_011,"SARIMA(0,1,1)(0,1,1)[12]","ARIMA(0,1,1)(0,1,1)[12]",0,1,1,0,1,1,12,No,No,0,24,0.054434676517470804,Yes,Yes,3,"7, 15, 22",No,Few isolated spikes,Yes,Yes,"The Ljung-Box test did not detect significant overall residual autocorrelation. 3 isolated ACF spikes were observed, but they did not form a consecutive pattern.",0.40374052992009446,0.4917383060305699,1.2179562604920822,0.21457004992912218,0.32132118375602564,Yes,No strong overfitting warning from the training-versus-test RMSE comparison,0.42897961780788546,0.4917383060305699,0.32132118375602564,0.16195745493230915,Yes
195.38135088777491,auto_arima_fourier_k1,Automatic ARIMA + Fourier K=1,"ARIMA(2,1,0)(0,0,0)[12] with drift + Fourier K=1",2,1,0,0,0,0,12,Yes,No,1,24,0.07299162488604716,Yes,Yes,3,"7, 15, 22",No,Few isolated spikes,Yes,Yes,"The Ljung-Box test did not detect significant overall residual autocorrelation. 3 isolated ACF spikes were observed, but they did not form a consecutive pattern.",0.4169360466361722,0.5076500614580507,1.2175729720511252,0.22766898640742234,0.32997725386487353,Yes,No strong overfitting warning from the training-versus-test RMSE comparison,0.44056751883756345,0.5076500614580507,0.32997725386487353,0.1663323643239591,Yes
195.47976976455868,arima_011_fourier_k1,"ARIMA(0,1,1) with drift + Fourier K=1","ARIMA(0,1,1)(0,0,0)[12] with drift + Fourier K=1",0,1,1,0,0,0,12,Yes,No,1,24,0.05129067936916876,Yes,Yes,3,"7, 15, 22",No,Few isolated spikes,Yes,Yes,"The Ljung-Box test did not detect significant overall residual autocorrelation. 3 isolated ACF spikes were observed, but they did not form a consecutive pattern.",0.4197737313507381,0.5493015968415733,1.308565914961004,0.22881767628841163,0.3575188876997252,Yes,No strong overfitting warning from the training-versus-test RMSE comparison,0.4772645016171448,0.5493015968415733,0.35751888769972523,0.1801869851216713,Yes
210.93983764055574,sarima_111_111,"SARIMA(1,1,1)(1,1,1)[12]","ARIMA(1,1,1)(1,1,1)[12]",1,1,1,1,1,1,12,No,No,0,24,0.037109001788767415,No,No,3,"7, 15, 22",No,Few isolated spikes,Yes,No,The Ljung-Box test detected significant overall residual autocorrelation (p = 0.0371). Residual ACF pattern: Few isolated spikes.,0.4036871074687736,0.45527479730032133,1.1277912741752303,0.21645825467292232,0.2977793851027718,Yes,No strong overfitting warning from the training-versus-test RMSE comparison,0.39754483873131363,0.45527479730032133,0.2977793851027718,0.1500895325316673,No
259.17174431899934,sarima_110_110,"SARIMA(1,1,0)(1,1,0)[12]","ARIMA(1,1,0)(1,1,0)[12]",1,1,0,1,1,0,12,No,No,0,24,1.285957229590906e-9,No,No,7,"2, 7, 12, 15, 17, 22, 24",No,Consecutive or numerous spikes,No,No,The Ljung-Box test detected significant overall residual autocorrelation (p = 0.0000). Residual ACF pattern: Consecutive or numerous spikes.,0.5230055625315402,0.4974288943049388,0.9510967567862934,0.29360690419309393,0.29128547847466135,Yes,No strong overfitting warning from the training-versus-test RMSE comparison,0.38966760436974585,0.4974288943049388,0.2912854784746614,0.1471155524726049,No
214.17983691272076,sarima_110_011,"SARIMA(1,1,0)(0,1,1)[12]","ARIMA(1,1,0)(0,1,1)[12]",1,1,0,0,1,1,12,No,No,0,24,0.0063262665820815744,No,No,4,"2, 7, 15, 22",No,Consecutive or numerous spikes,No,No,The Ljung-Box test detected significant overall residual autocorrelation (p = 0.0063). Residual ACF pattern: Consecutive or numerous spikes.,0.411405069089548,0.5096268343205206,1.2387470952857735,0.21385495539755933,0.33108372626969845,Yes,No strong overfitting warning from the training-versus-test RMSE comparison,0.4420093542153438,0.5096268343205206,0.33108372626969845,0.1668767164995006,No
254.10160954903702,sarima_111_110,"SARIMA(1,1,1)(1,1,0)[12]","ARIMA(1,1,1)(1,1,0)[12]",1,1,1,1,1,0,12,No,No,0,24,8.23513456871261e-7,No,No,5,"7, 12, 15, 22, 24",No,Consecutive or numerous spikes,No,No,The Ljung-Box test detected significant overall residual autocorrelation (p = 0.0000). Residual ACF pattern: Consecutive or numerous spikes.,0.5105333040968891,0.5457987025581489,1.0690756081498791,0.29090563060710023,0.3188155558206099,Yes,No strong overfitting warning from the training-versus-test RMSE comparison,0.4265447278657722,0.5457987025581489,0.3188155558206099,0.16103818380217924,No
195.14507891750853,arima_011_fourier_k2,"ARIMA(0,1,1) with drift + Fourier K=2","ARIMA(0,1,1)(0,0,0)[12] with drift + Fourier K=2",0,1,1,0,0,0,12,Yes,No,2,24,0.009439395944223161,No,No,3,"7, 15, 22",No,Few isolated spikes,Yes,No,The Ljung-Box test detected significant overall residual autocorrelation (p = 0.0094). Residual ACF pattern: Few isolated spikes.,0.4139702429025594,0.5919587901471194,1.4299549310515418,0.22322791128607827,0.37836937735588283,Yes,No strong overfitting warning from the training-versus-test RMSE comparison,0.5050854668167896,0.5919587901471194,0.37836937735588283,0.19069054410314418,No
205.63909960731206,auto_arima_no_drift,Automatic ARIMA selection without drift,"ARIMA(0,1,1)(1,0,0)[12]",0,1,1,1,0,0,12,No,No,0,24,0.1439166052727523,Yes,Yes,3,"7, 15, 22",No,Few isolated spikes,Yes,Yes,"The Ljung-Box test did not detect significant overall residual autocorrelation. 3 isolated ACF spikes were observed, but they did not form a consecutive pattern.",0.43769457930342354,1.2318087791965848,2.8143112513684034,0.24392589053809716,0.8656483108113459,No,Possible overfitting: test RMSE is substantially higher than training RMSE,1.1570318463587366,1.2318087791965848,0.8656483108113459,0.4368271249563478,No
205.8261304098832,sarima_011_001_no_drift,"SARIMA(0,1,1)(0,0,1)[12] without drift","ARIMA(0,1,1)(0,0,1)[12]",0,1,1,0,0,1,12,No,No,0,24,0.17543939858388358,Yes,Yes,3,"7, 15, 22",No,Few isolated spikes,Yes,Yes,"The Ljung-Box test did not detect significant overall residual autocorrelation. 3 isolated ACF spikes were observed, but they did not form a consecutive pattern.",0.4379621521892943,1.3000673130968725,2.9684467175943605,0.24330694129454045,0.9100461214989158,No,Possible overfitting: test RMSE is substantially higher than training RMSE,1.2164307731267574,1.3000673130968725,0.9100461214989157,0.4592526636199762,No
210.78317038954248,arima_111_no_drift,"ARIMA(1,1,1) without drift","ARIMA(1,1,1)(0,0,0)[12]",1,1,1,0,0,0,12,No,No,0,24,0.1123064673968166,Yes,Yes,2,"15, 22",No,Few isolated spikes,Yes,Yes,"The Ljung-Box test did not detect significant overall residual autocorrelation. 2 isolated ACF spikes were observed, but they did not form a consecutive pattern.",0.4449423783231754,1.4897055681951052,3.3480864956250267,0.2509600676364295,1.046902602697323,No,Possible overfitting: test RMSE is substantially higher than training RMSE,1.3992989979100585,1.4897055681951052,1.046902602697323,0.5282929420957627,No
