date,division,index,monthly_change_pct,yoy_inflation_pct,year,month_number,month_name
2010-01-01,overall,99.3,,,2010,1,January
2010-02-01,overall,99.3,0,,2010,2,February
2010-03-01,overall,99.3,0,,2010,3,March
2010-04-01,overall,99.3,0,,2010,4,April
2010-05-01,overall,99.5,0.20140986908359082,,2010,5,May
2010-06-01,overall,99.7,0.20100502512563345,,2010,6,June
2010-07-01,overall,100,0.30090270812437314,,2010,7,July
2010-08-01,overall,100.3,0.29999999999998916,,2010,8,August
2010-09-01,overall,100.4,0.09970089730808596,,2010,9,September
2010-10-01,overall,100.6,0.19920318725097363,,2010,10,October
2010-11-01,overall,100.9,0.29821073558649047,,2010,11,November
2010-12-01,overall,101.3,0.3964321110009772,,2010,12,December
2011-01-01,overall,102,0.6910167818361401,2.7190332326284095,2011,1,January
2011-02-01,overall,102.5,0.4901960784313708,3.2225579053373643,2011,2,February
2011-03-01,overall,102.6,0.09756097560975618,3.3232628398791597,2011,3,March
2011-04-01,overall,102.8,0.19493177387914784,3.5246727089627283,2011,4,April
2011-05-01,overall,103,0.1945525291828787,3.5175879396984966,2011,5,May
2011-06-01,overall,103.4,0.3883495145631022,3.7111334002005947,2011,6,June
2011-07-01,overall,103.6,0.19342359767891004,3.600000000000003,2011,7,July
2011-08-01,overall,103.7,0.09652509652511299,3.3898305084745894,2011,8,August
2011-09-01,overall,103.9,0.192864030858253,3.486055776892427,2011,9,September
2011-10-01,overall,104.2,0.2887391722810273,3.5785288270377746,2011,10,October
2011-11-01,overall,104.3,0.09596928982724684,3.369672943508406,2011,11,November
2011-12-01,overall,104.4,0.09587727708533222,3.060217176702862,2011,12,December
2012-01-01,overall,104.8,0.3831417624520883,2.7450980392156765,2012,1,January
2012-02-01,overall,104.6,-0.1908396946564861,2.04878048780488,2012,2,February
2012-03-01,overall,104.6,0,1.949317738791434,2012,3,March
2012-04-01,overall,104.5,-0.09560229445506607,1.6536964980544688,2012,4,April
2012-05-01,overall,104.9,0.3827751196172402,1.844660194174752,2012,5,May
2012-06-01,overall,105.1,0.19065776930409228,1.6441005802707798,2012,6,June
2012-07-01,overall,105.1,0,1.4478764478764505,2012,7,July
2012-08-01,overall,105.3,0.19029495718363432,1.5429122468659573,2012,8,August
2012-09-01,overall,105.4,0.09496676163343043,1.4436958614052031,2012,9,September
2012-10-01,overall,105.6,0.1897533206830948,1.3435700575815668,2012,10,October
2012-11-01,overall,105.7,0.09469696969697239,1.342281879194629,2012,11,November
2012-12-01,overall,105.7,0,1.245210727969348,2012,12,December
2013-01-01,overall,106.3,0.5676442762535316,1.4312977099236734,2013,1,January
2013-02-01,overall,106.5,0.18814675446849893,1.8164435946462776,2013,2,February
2013-03-01,overall,106.6,0.09389671361501595,1.9120458891013437,2013,3,March
2013-04-01,overall,106.6,0,2.0095693779904167,2013,4,April
2013-05-01,overall,107,0.37523452157599557,2.0019065776930356,2013,5,May
2013-06-01,overall,107.1,0.09345794392523477,1.9029495718363432,2013,6,June
2013-07-01,overall,107.4,0.2801120448179484,2.1883920076118057,2013,7,July
2013-08-01,overall,107.5,0.09310986964616852,2.089268755935425,2013,8,August
2013-09-01,overall,108.4,0.8372093023255811,2.8462998102466885,2013,9,September
2013-10-01,overall,108.8,0.36900369003689537,3.0303030303030276,2013,10,October
2013-11-01,overall,109.1,0.27573529411764053,3.2166508987701015,2013,11,November
2013-12-01,overall,109.5,0.36663611365719273,3.595080416272456,2013,12,December
2014-01-01,overall,110,0.45662100456620447,3.480714957666975,2014,1,January
2014-02-01,overall,110.4,0.363636363636366,3.6619718309859106,2014,2,February
2014-03-01,overall,110.4,0,3.564727954971869,2014,3,March
2014-04-01,overall,110.4,0,3.564727954971869,2014,4,April
2014-05-01,overall,110.5,0.09057971014492239,3.2710280373831724,2014,5,May
2014-06-01,overall,110.7,0.18099547511312153,3.3613445378151363,2014,6,June
2014-07-01,overall,110.9,0.18066847335140857,3.2588454376163867,2014,7,July
2014-08-01,overall,111.1,0.18034265103696878,3.3488372093023244,2014,8,August
2014-09-01,overall,111.3,0.18001800180018623,2.6752767527675303,2014,9,September
2014-10-01,overall,111.8,0.4492362982928988,2.757352941176472,2014,10,October
2014-11-01,overall,112.4,0.5366726296959001,3.024747937671868,2014,11,November
2014-12-01,overall,112.4,0,2.648401826484026,2014,12,December
2015-01-01,overall,111.5,-0.8007117437722422,1.3636363636363669,2015,1,January
2015-02-01,overall,110.8,-0.627802690582957,0.36231884057971175,2015,2,February
2015-03-01,overall,111.6,0.7220216606498076,1.086956521739113,2015,3,March
2015-04-01,overall,112.7,0.9856630824372825,2.083333333333326,2015,4,April
2015-05-01,overall,113.1,0.3549245785270605,2.35294117647058,2015,5,May
2015-06-01,overall,113.7,0.5305039787798504,2.7100271002709952,2015,6,June
2015-07-01,overall,114.6,0.79155672823219,3.3363390441839336,2015,7,July
2015-08-01,overall,114.7,0.08726003490402423,3.240324032403241,2015,8,August
2015-09-01,overall,114.4,-0.26155187445510153,2.785265049416008,2015,9,September
2015-10-01,overall,114.9,0.43706293706293753,2.7728085867620766,2015,10,October
2015-11-01,overall,115.6,0.6092254134029584,2.8469750889679624,2015,11,November
2015-12-01,overall,115.7,0.08650519031143666,2.935943060498225,2015,12,December
2016-01-01,overall,115.5,-0.17286084701815252,3.587443946188351,2016,1,January
2016-02-01,overall,115.6,0.08658008658009031,4.332129963898912,2016,2,February
2016-03-01,overall,115,-0.519031141868509,3.046594982078865,2016,3,March
2016-04-01,overall,115.4,0.3478260869565375,2.395740905057675,2016,4,April
2016-05-01,overall,115.7,0.25996533795493715,2.298850574712641,2016,5,May
2016-06-01,overall,115.9,0.17286084701815252,1.9349164467898028,2016,6,June
2016-07-01,overall,116.3,0.3451251078515849,1.4834205933682343,2016,7,July
2016-08-01,overall,116.6,0.2579535683576939,1.6564952048822912,2016,8,August
2016-09-01,overall,116.4,-0.17152658662091813,1.7482517482517501,2016,9,September
2016-10-01,overall,116.5,0.0859106529209619,1.3925152306353272,2016,10,October
2016-11-01,overall,117.6,0.9442060085836923,1.730103806228378,2016,11,November
2016-12-01,overall,117.8,0.1700680272108901,1.8150388936905681,2016,12,December
2017-01-01,overall,119,1.018675721561979,3.0303030303030276,2017,1,January
2017-02-01,overall,120.4,1.17647058823529,4.152249134948116,2017,2,February
2017-03-01,overall,120.1,-0.2491694352159568,4.434782608695653,2017,3,March
2017-04-01,overall,119.9,-0.16652789342214147,3.8994800693240794,2017,4,April
2017-05-01,overall,119.8,-0.08340283569642226,3.543647363872071,2017,5,May
2017-06-01,overall,119.7,-0.08347245409014992,3.2786885245901676,2017,6,June
2017-07-01,overall,119.7,0,2.923473774720553,2017,7,July
2017-08-01,overall,120.7,0.8354218880534781,3.5162950257289882,2017,8,August
2017-09-01,overall,120.9,0.1657000828500399,3.8659793814433074,2017,9,September
2017-10-01,overall,120.7,-0.16542597187758634,3.6051502145922676,2017,10,October
2017-11-01,overall,121.4,0.5799502899751507,3.231292517006823,2017,11,November
2017-12-01,overall,121.7,0.24711696869852418,3.3106960950764153,2017,12,December
2018-01-01,overall,122.2,0.41084634346755244,2.6890756302521135,2018,1,January
2018-02-01,overall,122.2,0,1.4950166112956742,2018,2,February
2018-03-01,overall,121.8,-0.327332242225864,1.4154870940882525,2018,3,March
2018-04-01,overall,121.6,-0.16420361247947435,1.417848206839012,2018,4,April
2018-05-01,overall,121.8,0.164473684210531,1.6694490818029983,2018,5,May
2018-06-01,overall,120.7,-0.9031198686371034,0.8354218880534781,2018,6,June
2018-07-01,overall,120.9,0.1657000828500399,1.0025062656641603,2018,7,July
2018-08-01,overall,121.1,0.16542597187758634,0.3314001657000798,2018,8,August
2018-09-01,overall,121.2,0.08257638315443128,0.2481389578163684,2018,9,September
2018-10-01,overall,121.5,0.24752475247524774,0.6628003314001596,2018,10,October
2018-11-01,overall,121.7,0.16460905349795496,0.24711696869852418,2018,11,November
2018-12-01,overall,121.9,0.16433853738702098,0.16433853738702098,2018,12,December
2019-01-01,overall,121.6,-0.24610336341264194,-0.49099836333879043,2019,1,January
2019-02-01,overall,121.8,0.164473684210531,-0.327332242225864,2019,2,February
2019-03-01,overall,121.9,0.08210180623975383,0.08210180623975383,2019,3,March
2019-04-01,overall,121.8,-0.08203445447088065,0.164473684210531,2019,4,April
2019-05-01,overall,122,0.16420361247948545,0.16420361247948545,2019,5,May
2019-06-01,overall,122.1,0.08196721311475308,1.1599005799502793,2019,6,June
2019-07-01,overall,122.2,0.08190008190009923,1.0752688172043001,2019,7,July
2019-08-01,overall,122.5,0.24549918166938411,1.1560693641618602,2019,8,August
2019-09-01,overall,122.5,0,1.0726072607260662,2019,9,September
2019-10-01,overall,122.5,0,0.8230452674897082,2019,10,October
2019-11-01,overall,122.7,0.16326530612245094,0.8216926869350827,2019,11,November
